 140 75
 40 40
 22	22	18
36	26	26
21	45	11
45	35	30
55	20	21
33	34	19
50	50	15
55	45	16
26	59	29
40	66	26
55	65	37
35	51	16
62	35	12
62	57	31
62	24	8
21	36	19
33	44	20
9	56	13
62	48	15
66	14	22
44	13	28
26	13	12
11	28	6
7	43	27
17	64	14
41	46	18
55	34	17
35	16	29
52	26	13
43	26	22
31	76	25
22	53	28
26	29	27
50	40	19
55	50	10
54	10	12
60	15	14
47	66	24
30	60	16
30	50	33
12	17	15
15	14	11
16	19	18
21	48	17
50	30	21
51	42	27
50	15	19
48	21	20
12	38	5
15	56	22
29	39	12
54	38	19
55	57	22
67	41	16
10	70	7
6	25	26
65	27	14
40	60	21
70	64	24
64	4	13
36	6	15
30	20	18
20	30	11
15	5	28
50	70	9
57	72	37
45	42	30
38	33	10
50	4	8
66	8	11
59	5	3
35	60	1
27	24	6
40	20	10
40	37	20
18	56	8
52	19	20
60	50	30
69	44	24
58	11	28
41	51	2
6	71	9
13	41	2
8	37	4
10	16	15
16	54	1
49	31	11
60	45	34
52	20	23
45	42	3
67	17	26
54	29	6
24	75	24
38	34	26
26	53	30
14	12	24
68	40	36
55	59	33
10	24	28
34	17	15
57	72	15
65	63	12
61	28	8
15	67	28
53	57	36
19	14	16
69	19	33
64	23	5
8	76	28
57	72	11
46	41	14
42	68	37
63	19	27
40	71	37
50	69	23
67	12	9
53	51	9
27	40	14
26	69	4
19	62	7
43	15	29
58	9	17
46	14	17
33	54	1
29	58	15
65	31	26
15	43	30
27	26	26
19	32	34
60	73	16
36	48	19
68	63	34
6	44	22
14	24	27
65	63	24
18	15	22
34	67	28
27	23	29
55	75	9
18	50	36
50
52
53
68
57
61
67
62
51
65
65
62
50
57
57
62
54
63
54
51
64
68
70
64
69
61
64
60
53
57
66
54
66
51
55
52
58
67
55
51
50
58
64
67
67
50
63
69
60
53
63
64
70
66
58
66
57
70
61
57
65
70
58
70
51
58
53
60
51
50
61
58
54
51
50
